playerID,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,adapt_score
allisbi01,0,0,2,1,0,0,0,1,1,1.6923
allisbo01,0,0,144,0,0,0,528,195,631,1.5186
allisda01,11,0,0,0,0,0,0,0,0,0.0
allisdo01,1,279,2,1,0,1,0,6,55,0.6004999999999998
allisma01,45,0,0,0,0,0,0,0,0,0.0
allismi01,0,0,0,0,0,0,4,5,8,1.402
allrebe01,0,0,0,0,0,0,23,3,30,1.1244
almadme01,0,0,8,0,0,0,28,460,125,0.7948
almanar01,254,0,0,0,0,0,0,0,0,0.0
almanca01,210,0,0,0,0,0,0,0,0,0.0
almeira01,0,0,0,2,80,2,0,3,0,0.2688999999999999
almonab01,0,0,0,0,0,0,58,114,45,1.3183
almonbi01,0,1,95,102,212,615,123,9,34,1.5334
almoned01,12,0,0,0,0,0,0,0,0,0.0
almoner01,0,0,2,0,0,35,0,0,7,0.6423000000000001
almonhe01,50,0,0,0,0,0,0,0,0,0.0
almonmi01,9,0,0,0,0,0,0,0,0,0.0
almonzo01,0,0,0,0,0,0,31,0,7,0.5592999999999999
almoral01,0,0,0,0,0,0,8,33,2,0.7172999999999998
alomalu01,116,0,0,0,0,0,0,0,0,0.0
alomaro01,0,0,0,2320,0,5,0,0,0,0.007299999999999862
alomasa01,0,0,13,1153,45,204,5,0,3,0.6038999999999999
alomasa02,0,1324,1,0,0,0,0,0,0,0.0024999999999999467
alonsyo01,0,0,574,1,14,0,17,0,0,0.17649999999999988
aloufe01,0,0,467,0,5,2,435,489,737,1.7681
alouje01,0,0,1,0,0,0,441,5,670,0.9761000000000002
alouma01,1,0,168,0,0,0,197,845,304,1.3483
aloumo01,0,0,0,0,0,0,1242,100,603,0.9990999999999999
alperwh01,0,0,0,368,24,38,0,0,5,0.5038999999999998
alstode01,0,0,9,0,0,0,53,4,55,1.2747
alstoga01,6,0,0,0,0,0,0,0,0,0.0
alstoto01,0,0,81,0,0,0,0,0,0,0.0
alstowa01,0,0,1,0,0,0,0,0,0,0.0
altampo01,65,0,0,0,0,0,0,0,0,0.0
altavda01,15,0,0,0,0,0,0,0,0,0.0
altener01,14,0,0,0,0,0,0,0,0,0.0
altenje01,0,0,0,0,0,0,5,2,3,1.35
altheaa01,0,0,0,0,0,0,44,18,53,1.3399
altizda01,0,0,101,39,16,223,4,53,52,1.6833
altmage01,0,0,47,0,0,0,224,181,398,1.4874
altobjo01,0,0,99,0,0,0,26,4,2,0.7486999999999999
altroni01,218,0,5,0,0,0,2,0,2,0.133
altuvjo01,0,0,0,804,0,1,0,0,0,0.0041999999999999815
alusige01,0,0,13,0,0,0,108,2,64,1.1323
alvarab01,4,0,0,0,0,0,0,0,0,0.0
alvarcl01,0,2,0,0,0,0,0,0,0,0.0
alvarda01,36,0,0,0,0,0,0,0,0,0.0
alvarda02,0,0,0,0,0,0,0,1,13,0.23289999999999988
alvarga01,0,0,0,0,60,0,2,0,5,0.3429000000000002
alvarhe01,92,0,0,0,0,0,0,0,0,0.0
alvarjo01,98,0,0,0,0,0,0,0,0,0.0
alvarjo02,144,0,0,0,0,0,0,0,0,0.0
alvarju01,80,0,0,0,0,0,0,0,0,0.0
alvarlu01,0,0,0,142,43,243,0,0,0,1.1682
alvaror01,0,0,0,0,0,0,12,0,0,0.0
alvaros01,0,0,0,15,3,64,0,0,0,0.6772999999999998
alvarpe01,0,0,129,0,566,0,0,0,0,0.5630000000000002
alvarrj01,31,0,0,0,0,0,0,0,0,0.0
alvarro01,0,0,15,0,0,0,0,0,0,0.0
alvarta01,19,0,0,0,0,0,0,0,0,0.0
alvarto01,0,0,0,0,0,0,5,10,10,1.4125
alvarvi01,9,0,0,0,0,0,0,0,0,0.0
alvarwi01,355,0,0,0,0,0,0,0,0,0.0
alvisma01,0,0,0,0,971,1,0,0,0,0.0034999999999998366
alvorbi01,0,0,0,8,249,8,0,0,0,0.2012999999999998
alyeabr01,0,0,6,0,0,0,176,0,71,0.8603999999999998
amalfjo01,0,0,1,399,87,15,2,0,0,0.6480999999999999
amarari01,0,0,42,164,42,41,232,101,52,1.9618
amarial01,2,0,0,149,39,196,68,126,9,1.8645
amaroru01,0,0,168,19,53,705,1,0,0,0.7968999999999999
amaroru02,0,0,2,4,0,0,108,106,132,1.5263
amblewa01,0,0,0,79,0,193,0,0,0,0.8029999999999999
ambrech01,0,0,0,0,0,0,23,27,8,1.3106
ambrihe01,96,0,0,0,0,0,0,0,0,0.0
amelued01,0,0,0,0,0,0,9,6,13,1.3973
amesre01,533,0,0,0,0,0,0,0,0,0.0
amesst01,4,0,0,0,0,0,0,0,0,0.0
amezaal01,0,0,6,76,73,117,22,255,10,1.6563
amoledo01,18,0,0,0,0,0,0,0,0,0.0
amorosa01,0,0,0,0,0,0,321,32,28,0.5124
amorvi01,13,0,0,0,0,0,0,0,0,0.0
anckewa01,4,0,0,0,0,0,0,0,0,0.0
anderal01,0,0,0,0,0,106,0,0,0,0.0
anderal02,148,0,0,0,0,0,0,0,0,0.0
anderan01,0,0,2,30,8,53,0,0,0,1.1844
anderbi01,2,0,0,0,0,0,0,0,0,0.0
anderbo01,246,0,0,0,0,0,0,0,0,0.0
anderbr01,0,0,0,0,0,0,688,927,139,1.1767
anderbr02,291,0,0,0,0,0,0,0,0,0.0
anderbr03,0,0,0,0,0,0,21,303,20,0.39190000000000014
anderbr04,127,0,0,0,0,0,0,0,0,0.0
anderbr05,0,23,1,0,0,0,0,0,0,0.13790000000000013
anderbu01,64,0,0,0,0,0,0,0,0,0.0
anderch01,79,0,0,0,0,0,0,0,0,0.0
anderco01,34,0,0,0,0,0,0,0,0,0.0
andercr01,82,0,0,0,0,0,0,0,0,0.0
anderda01,21,0,0,0,0,0,0,0,0,0.0
anderda02,0,0,19,49,219,502,0,0,0,1.051
anderdr01,0,0,0,0,0,0,1,0,1,1.0157
anderdw01,0,0,0,7,22,96,0,2,0,0.7645
anderfe01,0,82,0,0,0,0,0,0,0,0.0
anderfr01,178,0,0,0,0,0,0,0,0,0.0
anderga01,0,0,0,0,0,0,1387,404,162,0.8822999999999999
anderge01,0,0,0,0,0,0,111,34,117,1.3024
andergo01,0,0,0,5,0,0,2,24,91,0.7818999999999998
anderha01,0,0,0,0,0,0,0,9,0,0.0
anderha02,0,0,76,0,0,0,351,0,3,0.5632000000000001
anderja01,32,0,0,0,0,0,0,0,0,0.0
anderji01,0,5,0,27,56,320,2,0,1,0.7094999999999998
anderji02,122,0,0,0,0,0,0,0,0,0.0
anderjo01,0,0,599,0,1,0,544,229,219,1.6246
anderjo02,24,0,0,0,0,0,0,0,0,0.0
anderjo03,0,0,0,0,0,0,58,77,31,1.3744
anderke01,0,0,0,12,21,98,0,0,2,0.8298999999999999
anderla01,16,0,0,0,0,0,0,0,0,0.0
anderla02,699,0,0,0,0,0,0,0,0,0.0
anderla03,0,0,26,0,0,0,4,0,0,0.4192999999999998
anderma01,257,0,0,0,0,0,0,0,0,0.0
anderma02,0,0,36,680,0,0,92,10,37,0.6686999999999999
andermi01,1,0,9,0,0,0,113,85,444,0.9878999999999998
andermi02,3,0,0,0,0,0,0,0,0,0.0
anderre01,36,0,0,0,0,0,0,0,0,0.0
anderri01,6,0,0,0,0,0,0,0,0,0.0
anderri02,28,0,0,0,0,0,0,0,0,0.0
andersc01,18,0,0,0,0,0,0,0,0,0.0
andersp01,0,0,0,152,0,0,0,0,0,0.0
anderti01,0,0,0,0,0,98,0,0,0,0.0
anderty01,19,0,0,0,0,0,0,0,0,0.0
anderva01,35,0,0,0,0,0,1,0,1,0.18049999999999988
anderwa01,17,0,0,0,0,0,0,0,0,0.0
anderwi01,7,0,0,0,0,0,0,0,0,0.0
andinro01,0,0,0,244,51,153,7,3,0,1.2659
andrast01,4,0,0,0,0,0,0,0,0,0.0
andrecl01,8,0,0,0,0,0,0,0,0,0.0
andreed01,0,0,1,126,0,0,192,455,5,1.2085
andreel01,6,0,0,0,0,0,0,0,0,0.0
andreer01,0,0,0,0,15,0,0,0,0,0.0
andrefr01,0,0,0,12,0,0,0,0,0,0.0
andrehu01,8,0,0,0,0,0,0,0,0,0.0
andreiv01,249,0,0,0,0,0,0,0,0,0.0
andreji01,0,0,0,0,0,0,0,0,54,0.0
andrejo01,22,0,0,0,0,0,0,0,0,0.0
andrejo02,16,0,0,0,0,0,0,0,0,0.0
andreki01,0,0,0,2,0,0,0,0,0,0.0
andremi01,0,0,39,786,5,11,0,0,0,0.21740000000000004
andrena01,127,0,0,0,0,0,0,0,0,0.0
andrero01,0,0,0,432,3,10,0,0,0,0.09779999999999989
andresh01,0,0,55,0,502,0,1,0,0,0.3227000000000002
andrest01,0,61,0,0,0,0,0,0,0,0.0
andrewa01,0,0,35,0,3,1,1,0,0,0.4121999999999999
andrima01,54,0,0,0,0,0,0,0,0,0.0
andrubi01,0,0,0,0,3,0,0,0,0,0.0
andruel01,0,0,0,0,0,1199,0,0,0,0.0
andrufr01,1,0,0,0,0,0,1,3,5,1.4125
andruwi01,0,0,0,0,1,0,0,0,0,0.0
andujjo01,405,0,0,0,0,0,0,0,0,0.0
andujlu01,35,0,0,0,0,0,0,0,0,0.0
angelno01,28,0,0,0,0,0,0,0,0,0.0
anglema01,0,0,0,0,0,0,14,16,2,1.1605
angleto01,0,5,0,0,0,0,0,0,0,0.0
ankenpa01,0,0,0,11,0,4,0,0,0,0.7549999999999999
ankieri01,51,0,0,0,0,0,44,431,90,0.9582000000000002
annade01,1,0,0,3,0,9,0,0,0,0.9199000000000002
annisbi01,0,0,0,0,0,0,4,15,8,1.2362
ansonca01,3,105,2152,18,220,9,46,8,32,0.5619999999999998
anthoer01,0,0,17,0,0,0,114,40,415,0.9043000000000001
antoldu01,1,0,0,0,0,0,0,0,0,0.0
antoljo01,0,3,0,0,0,0,0,0,0,0.0
antonbi01,0,0,0,0,0,0,20,2,4,0.7271999999999998
antonjo01,0,0,4,25,112,1,0,0,0,0.6556000000000002
antonjo02,377,0,0,0,0,0,0,0,0,0.0
