,GP,sent_to_AS,career-years,avg-all-star
colemjo05,0.0,1.0,13.997260273972604,0.07144255235858289
colemvi01,2.0,2.0,11.997260273972604,0.16670472710664533
colliri02,3.0,3.0,10.454794520547946,0.28694968553459116
colomal01,0.0,1.0,3.345205479452055,0.2989352989352989
colonba01,2.0,4.0,19.506849315068493,0.2050561797752809
conceda01,7.0,9.0,18.457534246575342,0.4876057592400178
coneda01,5.0,5.0,16.980821917808218,0.2944498225233947
conigto01,1.0,1.0,11.161643835616438,0.0895925380461463
coninje01,1.0,2.0,17.04931506849315,0.11730676522577535
conlege01,3.0,4.0,11.435616438356165,0.3497843794920939
consusa01,1.0,1.0,6.96986301369863,0.1434748427672956
contrjo01,0.0,1.0,10.164383561643836,0.09838274932614555
cookaa01,1.0,1.0,10.142465753424657,0.09859535386277687
cookry01,1.0,1.0,4.161643835616438,0.2402896642527979
coomero01,1.0,1.0,8.164383561643836,0.12248322147651006
coopece01,5.0,5.0,15.852054794520548,0.31541652264085723
coopemo01,2.0,4.0,10.652054794520549,0.37551440329218105
coopesc01,2.0,2.0,7.068493150684931,0.28294573643410853
coopewa01,6.0,8.0,16.997260273972604,0.4706640876853643
corajo01,1.0,1.0,11.484931506849316,0.08707061068702289
corbedo01,0.0,1.0,7.306849315068493,0.13685789276340457
corbipa01,1.0,1.0,4.421917808219178,0.22614622057001238
cordech01,1.0,1.0,6.863013698630137,0.14570858283433133
cordefr01,2.0,3.0,13.008219178082191,0.2306234203875316
cordewi01,1.0,1.0,12.991780821917809,0.07697174188106284
correke01,0.0,1.0,11.991780821917809,0.08339045007996344
coscape01,1.0,1.0,8.063013698630137,0.12402310567448183
craigal01,1.0,1.0,5.493150684931507,0.18204488778054861
crainje01,0.0,1.0,8.904109589041095,0.11230769230769232
cramedo01,3.0,5.0,18.660273972602738,0.2679489061811775
crandde01,8.0,11.0,17.284931506849315,0.6363924552226977
crawfbr01,1.0,1.0,5.3561643835616435,0.18670076726342713
crawfca02,4.0,4.0,13.882191780821918,0.28813893822774816
credejo01,1.0,1.0,9.008219178082191,0.11100973236009733
cronijo01,7.0,7.0,18.986301369863014,0.3686868686868687
crosefr01,1.0,2.0,16.487671232876714,0.12130275839149218
crowaa01,0.0,1.0,3.4986301369863013,0.28582615505090053
crowdal01,1.0,1.0,9.92054794520548,0.1008008837337752
crowege01,0.0,1.0,9.043835616438356,0.11057255377158437
cruzjo01,1.0,2.0,17.843835616438355,0.11208352525717796
cruzne02,3.0,4.0,11.046575342465754,0.3621031746031746
cuccito01,1.0,3.0,15.457534246575342,0.19408011343495216
cuddymi01,2.0,2.0,14.035616438356165,0.1424946320515323
cuellmi01,2.0,4.0,18.054794520547944,0.2215477996965099
cuetojo01,1.0,2.0,8.495890410958904,0.23540793292486295
cullero01,1.0,2.0,9.449315068493151,0.21165555233400984
culpra01,2.0,2.0,10.408219178082192,0.1921558304817057
cunnijo01,1.0,2.0,11.805479452054794,0.16941285681132515
cuyleki01,1.0,1.0,16.96986301369863,0.058927994833710036
dahlgba01,1.0,1.0,11.391780821917807,0.0877825877825878
daleybu01,2.0,4.0,8.882191780821918,0.45033929673041334
damonjo01,2.0,2.0,16.983561643835618,0.11776092918212615
danniha01,2.0,4.0,9.161643835616438,0.43660287081339716
darkal01,2.0,3.0,14.23013698630137,0.21082017712745477
darliro01,0.0,1.0,11.947945205479453,0.08369639990827792
darviyu01,1.0,3.0,4.47945205479452,0.6697247706422019
daultda01,3.0,3.0,14.01917808219178,0.21399257377369552
davalvi01,1.0,1.0,17.506849315068493,0.05712050078247261
davenji01,1.0,2.0,12.197260273972603,0.16397124887690925
davisal01,1.0,1.0,8.210958904109589,0.12178845512178846
davisch01,3.0,3.0,18.493150684931507,0.1622222222222222
davisch02,1.0,1.0,8.273972602739725,0.12086092715231789
daviscu01,1.0,2.0,12.027397260273972,0.1662870159453303
daviser01,2.0,2.0,17.397260273972602,0.11496062992125984
davisgl01,2.0,2.0,8.726027397260275,0.2291993720565149
davisjo02,2.0,2.0,9.065753424657535,0.22061045633121787
davisma01,2.0,2.0,17.054794520547944,0.11726907630522089
davisro02,1.0,1.0,10.164383561643836,0.09838274932614555
davisto02,3.0,3.0,17.041095890410958,0.17604501607717044
