playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr,adapt_score
sladego01,437,342.0,437,413,0,0,0,60,32,319,8,0,0,8,0.0,23.0,13.0,0.7608000000000001
slaglji01,1300,,1300,1300,0,0,0,0,0,0,567,668,61,1294,,,,1.1224
slagljo01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,,,0.0
slaglro01,1,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slaglwa01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,,,0.0
slamaan01,7,0.0,0,7,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slapncy01,10,8.0,10,10,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slappjo01,3,1.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slatedo01,216,0.0,202,216,216,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slatoji01,496,357.0,38,496,496,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slattja01,103,,103,103,0,65,18,0,0,0,0,0,0,0,,,,0.6419000000000001
slattmi01,374,,374,374,0,0,11,0,0,0,69,281,19,364,,,,0.8138999999999998
slattph01,3,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slaugba01,8,,8,8,8,0,0,0,0,0,0,0,0,0,,,,0.0
slaugdo01,1327,1092.0,1327,1239,0,1238,0,0,1,0,0,0,0,0,15.0,160.0,2.0,0.0026999999999999247
slaugen01,2380,1955.0,2380,2063,0,0,0,0,0,0,509,21,1540,2063,0.0,365.0,4.0,0.7433999999999998
slaugst01,20,6.0,20,20,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slaybbi01,42,17.0,23,42,42,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slaybsc01,2,2.0,2,2,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slaytst01,3,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
sleatlo01,145,21.0,145,131,131,0,0,0,0,0,0,0,0,0,0.0,17.0,0.0,0.0
sledgte01,291,173.0,291,214,0,0,10,0,0,0,157,4,60,206,0.0,90.0,2.0,0.9367000000000001
sloanbr01,59,16.0,59,21,0,0,0,0,0,0,3,0,18,21,0.0,37.0,0.0,0.4464999999999999
sloanto01,144,99.0,144,104,0,0,0,0,0,0,17,1,86,104,0.0,37.0,2.0,0.5363000000000002
sloatle01,9,2.0,9,9,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
