Points Against	Points	Game	Home/Away	Opponent	Overtime?	Pts Diff	Season	Team
100	136	92	Home	San Antonio Spurs		36	Playoffs	Warriors
104	117	91	Away	Boston Celtics		13	Playoffs	Cavaliers
86	130	92	Away	Boston Celtics		44	Playoffs	Cavaliers
108	120	93	Away	San Antonio Spurs		12	Playoffs	Warriors
111	108	93	Home	Boston Celtics		-3	Playoffs	Cavaliers
115	129	94	Away	San Antonio Spurs		14	Playoffs	Warriors
99	112	94	Home	Boston Celtics		13	Playoffs	Cavaliers
102	135	95	Away	Boston Celtics		33	Playoffs	Cavaliers
113	91	96	Away	Golden State Warriors		-22	Playoffs	Cavaliers
91	113	95	Home	Cleveland Cavaliers		22	Playoffs	Warriors
132	113	97	Away	Golden State Warriors		-19	Playoffs	Cavaliers
113	132	96	Home	Cleveland Cavaliers		19	Playoffs	Warriors
113	118	97	Away	Cleveland Cavaliers		5	Playoffs	Warriors
118	113	98	Home	Golden State Warriors		-5	Playoffs	Cavaliers
