id,key,value,type
304818,natural,water,regular
304821,type,multipolygon,regular
304821,natural,water,regular
304822,type,multipolygon,regular
304822,natural,water,regular
304823,type,multipolygon,regular
304823,natural,water,regular
304825,type,multipolygon,regular
304825,natural,wetland,regular
304826,type,multipolygon,regular
304826,natural,water,regular
304827,type,multipolygon,regular
304827,natural,wetland,regular
304828,type,multipolygon,regular
304828,natural,wetland,regular
304829,type,multipolygon,regular
304829,natural,water,regular
304830,type,multipolygon,regular
304830,natural,wetland,regular
304831,type,multipolygon,regular
304831,natural,wetland,regular
304832,natural,wetland,regular
304832,type,multipolygon,regular
304953,type,multipolygon,regular
304953,natural,wetland,regular
304957,type,multipolygon,regular
304957,natural,wetland,regular
304958,type,multipolygon,regular
304958,natural,wetland,regular
304959,type,multipolygon,regular
304959,natural,water,regular
304962,type,multipolygon,regular
304962,natural,wetland,regular
304963,type,multipolygon,regular
304963,natural,water,regular
304965,type,multipolygon,regular
304965,natural,wetland,regular
304967,type,multipolygon,regular
304967,natural,wetland,regular
304969,type,multipolygon,regular
304969,natural,water,regular
304970,type,multipolygon,regular
304970,source,NHD,regular
304970,natural,wetland,regular
304970,ComID,139207418,NHD
304970,FCode,46600,NHD
304970,FDate,2005/08/24,NHD
304970,FTYPE,SwampMarsh,NHD
304970,RESOLUTION,High,NHD
304971,type,multipolygon,regular
304971,natural,wetland,regular
304973,type,multipolygon,regular
304973,natural,water,regular
304974,type,multipolygon,regular
304974,natural,water,regular
304975,type,multipolygon,regular
304975,natural,wetland,regular
304977,type,multipolygon,regular
304977,natural,wetland,regular
304978,type,multipolygon,regular
304978,natural,water,regular
304979,type,multipolygon,regular
304979,natural,wetland,regular
304980,type,multipolygon,regular
304980,natural,wetland,regular
304981,type,multipolygon,regular
304981,natural,wetland,regular
304982,natural,water,regular
304982,ComID,139190114,NHD
304982,FCode,39004,NHD
304982,FDate,2005/08/26,NHD
304982,FTYPE,LakePond,NHD
304982,ReachCode,08090203038561,NHD
304982,RESOLUTION,High,NHD
304982,source,NHD,regular
304982,type,multipolygon,regular
304985,type,multipolygon,regular
304985,natural,wetland,regular
304986,type,multipolygon,regular
304986,natural,wetland,regular
304987,type,multipolygon,regular
304987,natural,water,regular
304988,type,multipolygon,regular
304988,natural,wetland,regular
304989,type,multipolygon,regular
304989,natural,wetland,regular
304990,type,multipolygon,regular
304990,natural,water,regular
304991,type,multipolygon,regular
304991,natural,wetland,regular
304992,type,multipolygon,regular
304992,natural,water,regular
305000,type,multipolygon,regular
305000,natural,water,regular
305001,type,multipolygon,regular
305001,natural,wetland,regular
305003,natural,water,regular
305003,ComID,139182220,NHD
